property_name,link,society,price,areaWithType,address,floorNumAllowed,noOfOpenSides,possession,nearbyLocations,description,features,rating,property_id
Residential land / Plot in Gadaipur,https://www.99acres.com/residential-land-plot-for-sale-in-gadaipur-south-delhi-1250-sq-yard-r3-spid-C65566376,,7.5 Crore,,"Gadaipur, South Delhi, Delhi",,1,Immediate,"['Ghitorni metro station', 'gobind sadan', 'Punjab national bank ATM', 'DGD Jonapur', 'Baba Neem Karoli Dispensary', 'Aya Nagar Bus Terminal', 'Indian Oil', 'Barista', 'Government Boys Senior Secondary School', 'Bharat Vasisht Vidya Mandir']","Looking for a plot in a prime location of delhi south? This plot in gadaipur is the best deal for you. It spans over spectacular 1250 sq.Yards super built up area. Construction on this property can be easily done upto 2 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The type of ownership is freehold. The price of this massive plot is just  7.5 crore. Further negotiations can be done. This plot is facing the north-East direction.","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",,C65566376
Residential land / Plot in MG Road,https://www.99acres.com/residential-land-plot-for-sale-in-mg-road-south-delhi-1250-sq-yard-r4-spid-V65565908,,8.75 Crore,,"MG Road, South Delhi, Delhi",2 Floors,1,Immediate,"['Ghitorni metro station', 'Sultanpur metro station', 'gobind sadan', 'The Pentecostal Mission Church', 'Temple', 'Ram mandir', 'Shri Shiv Shakti Mandir', 'Navgrah temple', 'Chhattarpur Mandir Complex', 'Hdfc bank ATM', 'Axis bank ATM', 'Punjab national bank ATM', 'Raja Ram Market', 'Aggarwal Sons Medical Mart', 'Aya Nagar Bus Terminal', 'Indian Oil', 'Barista', 'Chai Thela', 'Burger King', 'WHSmith', 'Government Boys Senior Secondary School', 'Heritage International School', 'Deep Public School']","Check out this plot for sale in m g road, one of the best locations in delhi south. It's a 1250 sq.Yards super built up area property. Ownership of this property provides you entitlement to construct upto 2 floors. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. The property is owned under freehold contract. The plot is available at a price of  8.75 crore. The owner is open for negotiation.",[],"['', 'Environment3.7 out of 5']",V65565908
Residential land / Plot in Dera Mandi,https://www.99acres.com/residential-land-plot-for-sale-in-dera-mandi-south-delhi-200-sq-yard-r1-spid-T69766652,,1 Crore,,"Dera Mandi, South Delhi, Delhi",,2,,"['SHIV MANDIR BALIYAWAS', 'Janki Max Hospital', 'Parivar Clinic', 'Florence Farm', 'Green Dot Theory', 'CHINESE CORNER', 'Government Sarvodaya Vidyalaya']","Plot for sale in dera mandi is available in south delhi. This locality resonates with your modern lifestyle. The plot is around super built up area of 1800 sq.Ft. In size. Construction on this property can be easily done upto 4 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The type of ownership is freehold. The price of this massive plot is just  1 crore. Further negotiations can be done. This property faces the north-East direction.","['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.8 out of 5']",T69766652
Residential land / Plot in Vasant Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-vasant-kunj-south-delhi-4840-sq-yard-r1-spid-B68516134,1 ACRE LAND GREEN AVENUE STREET,30 Crore,,"Green Avenue Street, Vasant Kunj, Vasant Kunj, South Delhi, Delhi",,1,Immediate,"['Masoodpur market', 'Jangid Brahaman Temple', 'The Pentecostal Mission Church', 'Shiv Mandir', 'Ram mandir', 'Shri Shiv Shakti Mandir', 'Navgrah temple', 'Sanatan Dharm Radheshyam Mandir', 'Icici ATM', 'Hdfc ATM', 'Kotak ATM', 'Sbi ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'Oriental bank of commerce ATM', 'SPECIALITY SPINE CLINIC. DR TARUSH RUSTAGI', 'Unit V Indian Spinal Injuries Centre', 'INDIAN SPINAL INJURIES CENTRE', 'Raja Ram Market', 'Gendox Hospital', 'Vikas Hospital', 'Bhagwati Hospital', 'All India Chemist', 'SK Medicos', 'Akshay Medicos', 'Indian Oil', 'Icici bank', 'Icici sbi citi bank', 'PVR Directors Cut Cinema', 'PVR DFL Promenade Cinema', ""Nirula's"", 'Cafe Coffee Day', 'Momo', 'China Bowl', 'Barbecue nations', 'Monkey Bar', ""Nirula's"", 'Food', 'Aggarwal Sweets and Snacks', 'Cheela Cafe', 'Bhatnagar International School', 'Delhi Public School', 'Inter University Accelerator Centre', 'Deep Public School', 'school of social sciences1', 'Heritage International School', 'Indian Institute of Mass Communication', 'Ramanujan Sarvodaya Kanya Vidyalaya', 'Unknown library']","Land for sale on green avenue street, vasant kunj.
Size - 1 acre
Price - 30 cr
West facing
Boundary wall.
Clear tiltle
Proper registry.",['Water Storage'],"['', 'Environment4 out of 5']",B68516134
Residential land / Plot in Sector 34 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-34-rohini-north-delhi-38-sq-yard-r2-spid-G57050664,,49 Lac,,"Pocket C2, Sector 34 Rohini, North Delhi, Delhi",,1,Immediate,[],"Very good location plot on 12 mtr road , use for commercial","['Feng Shui / Vaastu Compliant', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment4 out of 5']",G57050664
Residential land / Plot in Sector 29 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-29-rohini-north-delhi-72-sq-yard-r3-spid-Q65716330,,1.48 Crore,,"Plot No., Sector 29 Rohini, North Delhi, Delhi",,2,,"['Devansh Hospital', 'DGD Khera Kalan', 'Khera kalan railway station']",This is a dda plot and well planed by dda this is a very good location,['Feng Shui / Vaastu Compliant'],"['', 'Environment3.8 out of 5']",Q65716330
Residential land / Plot in Sector 34 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-34-rohini-north-delhi-72-sq-yard-r11-spid-L22323617,DDA PLOTS,94 Lac,,"Sector-34, Sector 34 Rohini, North Delhi, Delhi",,1,,[],"This property allotment from dda, dda new allotment plots, good location","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment4 out of 5']",L22323617
Residential land / Plot in Sector 36 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-36-rohini-north-delhi-76-sq-yard-r4-spid-F38366357,,98 Lac,,"Plot No-591/59-, Sector 36 Rohini, North Delhi, Delhi",,1,Immediate,[],This is a dda plot and well planed by dda this is a very good locaion,['Feng Shui / Vaastu Compliant'],,F38366357
Residential land / Plot in Safdarjung Enclave,https://www.99acres.com/residential-land-plot-for-sale-in-safdarjung-enclave-south-delhi-4000-sq-yard-spid-A71352306,,240 Crore,,"Safdarjung Enclave, South Delhi, Delhi",,3,,"['Bhikaji cama place metro station', 'Sarojini nagar metro station', 'Nauroji Nagar Market', 'vinayak mandir', 'Muthoot bank ATM', 'Union bank ATM', 'Syndicate bank ATM', 'Sbt ATM', 'Icici ATM', 'Union bank of india ATM', 'Hdfc ATM', 'Diyos', 'Dr. Poonam Batra', 'Aashlok Hospital', 'Goyal MRI & Diagnostic Centre', 'BLK Clinic', 'Sukhmani Hospital', 'C.G.H.S Dispensary', 'Sports Injury Centre Safdarjung Hospital Part of SJH New Delhi', 'ESI Dispensary Factory Road', 'CGHS Dispensary L Block Sarojini Nagar New Delhi India', 'M.C.W. Center NDMC Dispensary Sarojini Nagar', 'Vardhman Mahavir Medical College VMMC & Safdarjung Hospital New Delhi', 'ndmc community centre', 'Kunal Medicos', 'Palika Bhawan', 'Vijaya bank', 'Baboo Da Punjabi Dhaba', 'khandani pakode wala', 'Wake & Shake', 'The Categorical Eat-Pham', 'Mohinga', 'Cultured', ""Nirula's"", 'Thali Wala', 'nirulas', ""Domino's"", 'The Piano Man', 'La Piazza', 'Park Balluchi', ""McDonald's"", 'Subway', 'Pani Puri Shop', 'Burger Club', 'Cafe Coffee Day', 'Burger King', 'flaming wok', ""Domino's"", 'Naivedyam restaurant', 'SDMC']","Very rare opportunity in safderjung enclave 4000 yards . 
Best for developers , state govt . Psu. Etc","['Feng Shui / Vaastu Compliant', 'Rain Water Harvesting']","['', 'Environment4.1 out of 5']",A71352306
Residential land / Plot in Sector 37 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-37-rohini-north-delhi-38-sq-yard-r21-spid-W39190993,,45 Lac,,"Pocket C 1, Sector 37 Rohini, North Delhi, Delhi",4 Floors,,Immediate,"['Karala Government Hospital', 'Devansh Hospital', 'Maharaja Agrasen Institute of Technology Rohini', 'Maharaja Agrasen Institute of Technology']","Freehold new allotment dda plot in sector 37 rohini. Well planned locality with nearby parks and other facilities. 
Easy availability of loan.
Prices are negotiableGood location for investment and residential purpose.This property is the very best location in sec-37 rohini near to metro & main road.
The property near to all the basic amenities & features for day to day usage stuff.
The property have multiple property options..For more info kindly contact",['Feng Shui / Vaastu Compliant'],"['', 'Environment3.6 out of 5']",W39190993
Residential land / Plot in Sainik Farms,https://www.99acres.com/residential-land-plot-for-sale-in-sainik-farms-south-delhi-1500-sq-yard-spid-L71264312,Sanik Farms,2.55 Crore,,"Sainik Farms, South Delhi, Delhi",,2,,"['Holy Family Syro-Malabar Church', 'Shri Chamatkari Hanuman Mandir', 'Bethel Marthoma Church', 'SPUHC Jawahar park', 'Sparsh Homeopathic Clinic', ""Balhara's Le Cure Hospital"", 'Balak Ram Hospital', 'DGD', 'Dr. Sunder Lal Memorial Hospital', 'Physio Quantum', 'Orthostar Hospital', 'Anmol Multispeciality Polyclinic and Diagnostic Center', 'Nirmal Medical Centre', 'NG Pharmacy', 'Ritu Medicos', 'VS Chemist and Cosmetics', 'Nav Durga Medicos', 'Shri Krishna Medicos', 'Shri Ram Medicos', 'All India Chemist', 'Maa Nav Durga Medicos', 'Anupam Chemist', 'State bank of india', 'Mapel Tree Cafe', 'Lunch At Office', 'Cafe 147', 'Wah Ji Wah', 'Happy Dough', 'Apna Punjab', 'Tip Top Tikka Corner', 'Royal Chicken Biryani', 'Yo China Table', ""Royal's Cafe"", 'Karnataka', 'The Pizza Pie', 'The', 'Agarwal Sweets', 'Down Town & Kitchen', 'Leaf Beat Bistro', 'Bikaner Choice', 'Alfonso', 'Henry Cafe', ""Lala's Tandoor"", 'Fiza', 'Tandoori Wok', ""Saint Mary's School"", ""Saint Mary's Junior School"", 'Little Millennium', 'Indira Gandhi National Open University', 'Ambience library']",Beautiful piece of land available for sale in a very attractive price in posh location of sanik farms.,['Feng Shui / Vaastu Compliant'],"['', 'Environment4.2 out of 5']",L71264312
Residential land / Plot in Pusa Road,https://www.99acres.com/residential-land-plot-for-sale-in-pusa-road-central-delhi-300-sq-yard-r19-spid-V6890923,,Price on Request,,"Pusa Road, Pusa Road, Central Delhi, Delhi",,,Immediate,"['Rajendra place metro station', 'Karol bagh metro station', 'Patel nagar east metro station', 'Shankar Market', 'Jai Mata Mandir', 'Sanatan Dharam Mandir', 'Durga Mandir', 'Icici bank ATM', 'New Delhi Medical Centre', 'Sir Ganga Ram Kolmet Hospital', 'Jeewan Hospital', 'CGHS Pusa Road', 'DGD RegarPura', 'Saaol Heart Center', 'Mohan Eye Institute', 'CGHS New', 'City Hospital', 'NGO Parivar Sewa Clinic', 'CGHS Dev Nagar', 'Pusa Institute', 'Bharat Petroleum', 'State bank of mysore', 'Axis bank', 'Bon Temps Cafe', 'Imly', 'Talli Station Rajendra Place', 'Aggarwal Sweets', 'Coffee Day', 'The Feast House', ""McDonald's"", 'Kitchen with a cause', 'Art Of Spices', 'Dominos Pizza', ""Domino's"", 'Rohan Hotel', 'Adyar Ananda Bhavan', 'Shyam Bakery', 'Amristari Kulcha King', 'Salwan Public School', 'GD Salwan Public School', 'Swami Dayanand Govt. Sarvodaya Vidyalaya', 'Andh Kanya Vidyalaya', 'Vidya Bhawan Senior Secondary School', 'Sindhi Higher Secondary School', 'Manav Sthali School', 'National Institute of Science Technology and Development Studies - NISTDS', 'S.D. Public', 'Bapu Adarsh Vidyalaya', 'DI Khan Bharati Sabha Higher Secondary School']","Plot for sale .
Excellent location",[],"['', 'Environment3.8 out of 5']",V6890923
Residential land / Plot in Dera Mandi,https://www.99acres.com/residential-land-plot-for-sale-in-dera-mandi-south-delhi-830-sq-yard-r6-spid-G60281524,,2 Crore,,"Dera Mandi, South Delhi, Delhi",2 Floors,,Immediate,"['SHIV MANDIR BALIYAWAS', 'Janki Max Hospital', 'Parivar Clinic', 'Florence Farm', 'Green Dot Theory', 'CHINESE CORNER', 'Government Sarvodaya Vidyalaya']",Prime location main road entrance gated entrance with boundary wall bore wall beautiful landscapes and many more amenities,[],"['', 'Environment3.8 out of 5']",G60281524
Residential land / Plot in SDA,https://www.99acres.com/residential-land-plot-for-sale-in-sda-south-delhi-412-sq-yard-r3-spid-C64027364,,25 Crore,,"SDA, South Delhi, Delhi",4 Floors,,Immediate,"['Iit delhi metro station', 'Hauz khas metro station', 'Hauz khas metro station', 'Green Park Market', 'Green Park Free Church', ""Feroz Shah's tomb"", 'Nili Masjid', 'Phoolwati Jain Poly Clinic', 'Dr. Rohatgi Clinic', 'Cygnus Orthocare Hospital', 'Leekha Nursing Home', 'State bank of india', 'Honey n dough', 'Napoli Pizza', 'Mr. Sub', 'Barista', 'Burger Singh', 'Smoothie factory', 'Summer House Cafe', 'Wok Me', 'Stoned Pizzeria', 'Auro', ""Karim's Mughlai Restaurant"", 'Welcome Point', 'Kunzum', 'Yeti the Himalayan Kitchen', 'Kaffeine', 'Starbucks', 'Mia Bella', 'Yeti- The Himalayan Kitchen', 'Fork you', 'Garage', 'Rabbit hole', 'Imperfecto', 'Elf and Bar', 'Coast Cafe', 'Social', 'Naivedyam restaurant', ""Dunkin' Donuts"", 'Gunpowder', 'Chaska Tandoori Snacks', 'Cafe Coffee Day', 'Costa Coffee', 'Park Balluchi', ""Domino's pizza"", 'Big Fat Sandwich', 'Little Saigon', 'Blue Tokai Cafe', 'National Institute of Fashion Technology Delhi', 'Sahoday Senior Secondary School']","East facing residential land available on sale at wide road.
Crystal clear title.","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.8 out of 5']",C64027364
Residential land / Plot in Ansal Satbari,https://www.99acres.com/residential-land-plot-for-sale-in-ansal-satbari-south-delhi-3500-sq-yard-r3-spid-E66790680,,,,"Ansal Satbari, South Delhi, Delhi",,2,,"['Shani Dham Temple', 'Sbi ATM', 'Smile Stone Dental Clinic', 'NDMS Park', 'Manchanda Hospital', 'Yogmaya Multispeciality Hospital', 'Anand Chemist', 'Neethi Medical Store', 'Tea Point', 'Government Sarvodaya Vidyalaya']","Check out this plot in chattarpur, south delhi, an ideal destination to build your dream residence. It's a 31500 sq.Ft. Super built up area property. Here, a solid foundation can easily withhold construction of 2 floors. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 26.25 crore and it is negotiable. This residential plot is north-East-Facing direction. This property is located very close to metro station, close to market, close to hospital and close to school etc.","['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.8 out of 5']",E66790680
Residential land / Plot in Dera Mandi,https://www.99acres.com/residential-land-plot-for-sale-in-dera-mandi-south-delhi-4840-sq-yard-r1-spid-X69765576,,10 Crore,,"Dera Mandi, South Delhi, Delhi",,2,,"['SHIV MANDIR BALIYAWAS', 'Janki Max Hospital', 'Parivar Clinic', 'Florence Farm', 'Green Dot Theory', 'CHINESE CORNER', 'Government Sarvodaya Vidyalaya']","Plot for sale in dera mandi is available in south delhi. This locality resonates with your modern lifestyle. It's a 1 acres super built up area property. Ownership of this property provides you entitlement to construct upto 2 floors. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. The owner of the property has freehold entitlement over the land. The asking price is only  10 crore. Negotiable. The residential plot is north-East-Facing.","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.8 out of 5']",X69765576
Residential land / Plot in Asola,https://www.99acres.com/residential-land-plot-for-sale-in-asola-south-delhi-2420-sq-yard-r1-spid-A69765734,,5.32 Crore,,"Guruji, Asola, South Delhi, Delhi",,2,,"['Shani Dham Temple', 'Smile Stone Dental Clinic', 'Florence Farm', 'Green Dot Theory', 'Government Sarvodaya Vidyalaya']",Asola is an ideal location for buying residential plots in south delhi. This plot in asola is a great buy for you. It spans over spectacular 2420 sq.Yards super built up area. Up to 2 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of  5.32 crore. The owner is open for negotiation. This residential plot is north-East-Facing direction.,"['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.7 out of 5']",A69765734
Residential land / Plot in Asola,https://www.99acres.com/residential-land-plot-for-sale-in-asola-south-delhi-1240-sq-yard-r1-spid-D69765688,,3.1 Crore,,"Guruji, Asola, South Delhi, Delhi",,2,,"['Shani Dham Temple', 'Smile Stone Dental Clinic', 'Florence Farm', 'Green Dot Theory', 'Government Sarvodaya Vidyalaya']",Plot for sale in asola is available in south delhi. This locality resonates with your modern lifestyle. The plot is around super built up area of 1240 sq.Yards in size. This property allows you to construct upto 2 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The owner of the property has freehold entitlement over the land. The asking price is only  3.1 crore. Negotiable. This plot is facing the north-East direction.,"['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.7 out of 5']",D69765688
Residential land / Plot in Chattarpur Enclave Phase 2,https://www.99acres.com/residential-land-plot-for-sale-in-chattarpur-enclave-phase-2-delhi-south-150-sq-yard-r1-spid-G69766194,,2.1 Crore,,"Chattarpur Enclave Phase 2, South Delhi, Delhi",,1,,"['Qutub minar metro station', 'Chhatarpur metro station', 'Chhattarpur Mandir Complex', 'Masjid Dibya Wali', 'Temple', 'Prachin Shri Hanuman Shani Mandir', 'Sbi ATM', 'Apex Hospital', 'DGD', 'Manchanda Hospital', 'Yogmaya Multispeciality Hospital', 'K.R. Hospital', 'Anmol Multispeciality Polyclinic and Diagnostic Center', 'Physio Quantum', 'JSMK Clinic', 'NDMS Park', ""Balhara's Le Cure Hospital"", 'Neethi Medical Store', 'Aggarwal Medical Store', 'Anand Chemist', 'Aggarwal Sons Medical Mart', 'Maa Nav Durga Medicos', 'Nav Durga Medicos', 'All India Chemist', 'NG Pharmacy', 'Oddbird Theatre', 'Shri Sai Food Corner', 'subway lavazza', 'Ajit Khalsa Dhaba', 'Quick Brown Fox Coffee Roasters', 'Greenr Cafe', 'The Dhan Mill', 'Hotspot Pizzeria', 'Leaf Beat Bistro', 'WHSmith', 'Burger King', 'Chai Thela', 'Agarwal Sweets', 'Down Town & Kitchen', 'Tea Point', 'Wah Ji Wah', 'Tip Top Tikka Corner', 'The Pizza Pie', 'Mapel Tree Cafe', 'Lunch At Office', 'Cafe 147', 'Karnataka', 'Indira Gandhi National Open University', ""Saint Mary's School"", 'Ambience library']","Planning to build residence in south delhi? This plot in chattarpur enclave phase 2 is the best deal for you. This 1350 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. Here, a solid foundation can easily withhold construction of 5 floors. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. The type of ownership is power of attorney. The price of this massive plot is just  2.1 crore. Further negotiations can be done. It's a north-East-Facing plot.","['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.9 out of 5']",G69766194
Residential land / Plot in Sector 34 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-34-rohini-north-delhi-76-sq-yard-spid-P71600988,,1.35 Crore,,"Sector 34 Rohini, North Delhi, Delhi",,1,,[],This 32 sq mtr pair on 12 mtr entry wide road both ways one way connected to 24 mtr road nd 2nd way connected to 30 mtr road near uer 2,['Maintenance Staff'],"['', 'Environment4 out of 5']",P71600988
Residential land / Plot in Sector 30 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-30-rohini-north-delhi-76-sq-yard-r6-spid-X62901454,,83 Lac,,"Plot No., Sector 30 Rohini, North Delhi, Delhi",,1,,[],Thisis a dda plot and well planed by dda this is a very goodlocation,['Feng Shui / Vaastu Compliant'],,X62901454
Residential land / Plot in Swasthya Vihar,https://www.99acres.com/residential-land-plot-for-sale-in-swasthya-vihar-east-delhi-478-sq-yard-spid-R71845166,,15.9 Crore,,"Near To Kaleva, Swasthya Vihar, East Delhi, Delhi",,2,,"['Nirman vihar metro station', 'Preet vihar metro station', 'Laxmi nagar metro station', 'Karkarduma court metro station', 'DDA Market', 'Neminath Jain Mandir', 'Temple', 'Gurudwara', 'Gauri Shanker Mandir AGCR', 'Gurudwara Shri Guru Singh Sabha', 'Aarogya Hospital', 'Sharp Sight Center', 'DGD Jagatpuri', 'Walia Nursing and Maternity Home', 'DGD Mandawali Fazalpur', 'Dr. Vippin Jain Clinic', 'Malhotra Clinic', 'Somdatt Medical', 'Lifespan Diabetes Clinics', 'Taravati Hospital', 'Dr Archna Dental and Orthodontal Clinic', 'Navjeevan Nursing Home', 'JMD Medical Store', 'Vishal Medical Store', 'Mediways Chemist', 'Life Care Medicos', 'V3S mall', 'Icici bank', 'State bank of india', 'Kotak mahindra bank', ""McDonald's"", ""Domino's Pizza"", ""Qd's"", 'Chicago Pizza', 'Burger King', 'Hira Sweets', 'Priyanshi South Indian Restaurant', 'Priyanshi South Indian Fast Food Point', ""Domino's"", 'South Indian Restaurant', 'NutrioBox Preet Vihar', 'Tasty Muradabadi Chicken Biryani', 'Ambedkar Institute of Technology', 'MCD School', 'S.G.S. Music', 'School of Dance and Music', 'Scottish Early Years', 'Fun Valley', 'Mandawli chandra vihar railway station']",This property located in swasthya vihar two side open north east very good property,['Maintenance Staff'],"['', 'Environment4.1 out of 5']",R71845166
Residential land / Plot in Chattarpur,https://www.99acres.com/residential-land-plot-for-sale-in-chattarpur-south-delhi-2500-sq-yard-r4-spid-D65566594,,,,"Chattarpur, South Delhi, Delhi",,1,Immediate,"['Chhatarpur metro station', 'Qutub minar metro station', 'Sultanpur metro station', 'Chhattarpur Mandir Complex', 'Temple', 'Masjid Dibya Wali', 'Prachin Shri Hanuman Shani Mandir', 'Navgrah temple', 'Shri Shiv Shakti Mandir', 'Ram mandir', 'Sanatan Dharm Radheshyam Mandir', 'The Pentecostal Mission Church', 'Hdfc bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Apex Hospital', 'K.R. Hospital', 'DGD', 'Yogmaya Multispeciality Hospital', 'Manchanda Hospital', 'Raja Ram Market', 'Vikas Hospital', 'Gendox Hospital', 'Anmol Multispeciality Polyclinic and Diagnostic Center', 'Aman Medical Centre', 'Physio Quantum', 'JSMK Clinic', 'Aggarwal Sons Medical Mart', 'Aggarwal Medical Store', 'Anand Chemist', 'Neethi Medical Store', 'Shri Banke Bihari Medical Store', 'Akshay Medicos', 'Maa Nav Durga Medicos', 'Oddbird Theatre', 'WHSmith', 'Burger King', 'Chai Thela', 'The Dhan Mill', 'Quick Brown Fox Coffee Roasters', 'Greenr Cafe', 'subway lavazza', 'Ajit Khalsa Dhaba', 'Barista', 'Shri Sai Food Corner', 'Hotspot Pizzeria', 'Cafe Twist', 'Heritage International School', 'Deep Public School', 'Indira Gandhi National Open University']","Check out this plot for sale in chattarpur, one of the best locations in delhi south. It spreads over 2500 sq.Yards super built up area. Here, a solid foundation can easily withhold construction of 2 floors. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. The owner of the property has freehold entitlement over the land. The asking price is only 17 crore. Negotiable. It's a north-East-Facing plot.","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.9 out of 5']",D65566594
Residential land / Plot in MG Road,https://www.99acres.com/residential-land-plot-for-sale-in-mg-road-south-delhi-4840-sq-yard-r4-spid-Z65565798,,,,"MG Road, South Delhi, Delhi",,1,Immediate,"['Ghitorni metro station', 'Sultanpur metro station', 'gobind sadan', 'The Pentecostal Mission Church', 'Temple', 'Ram mandir', 'Shri Shiv Shakti Mandir', 'Navgrah temple', 'Chhattarpur Mandir Complex', 'Hdfc bank ATM', 'Axis bank ATM', 'Punjab national bank ATM', 'Raja Ram Market', 'Aggarwal Sons Medical Mart', 'Aya Nagar Bus Terminal', 'Indian Oil', 'Barista', 'Chai Thela', 'Burger King', 'WHSmith', 'Government Boys Senior Secondary School', 'Heritage International School', 'Deep Public School']","Check out this plot for sale in m g road, one of the best locations in delhi south. It's a 1 acres super built up area property. Up to 2 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The type of ownership is freehold. The price of this massive plot is just 35 crore. Further negotiations can be done. This property faces the north-East direction. This property is close to metro station, close to school, close to market and close to hospital.","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.7 out of 5']",Z65565798
Residential land / Plot in Sultanpur,https://www.99acres.com/residential-land-plot-for-sale-in-sultanpur-south-delhi-4840-sq-yard-r3-spid-Y66790312,,,,"Sultanpur, South Delhi, Delhi",,2,,"['Sultanpur metro station', 'Ghitorni metro station', 'Chhatarpur metro station', 'Temple', 'Ram mandir', 'Shri Shiv Shakti Mandir', 'Navgrah temple', 'The Pentecostal Mission Church', 'Chhattarpur Mandir Complex', 'Prachin Shri Hanuman Shani Mandir', 'Masjid Dibya Wali', 'Shiv Mandir', 'Jangid Brahaman Temple', 'Sanatan Dharm Radheshyam Mandir', 'Hdfc bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Raja Ram Market', 'DGD', 'Yogmaya Multispeciality Hospital', 'Apex Hospital', 'Manchanda Hospital', 'K.R. Hospital', 'Gendox Hospital', 'Vikas Hospital', 'Aggarwal Sons Medical Mart', 'Aggarwal Medical Store', 'Anand Chemist', 'SK Medicos', 'Neethi Medical Store', 'Shri Banke Bihari Medical Store', 'Indian Oil', 'Oddbird Theatre', 'Icici bank', 'Barista', 'Chai Thela', 'Burger King', 'WHSmith', 'Ajit Khalsa Dhaba', 'The Dhan Mill', 'Quick Brown Fox Coffee Roasters', 'subway lavazza', 'Greenr Cafe', ""Nirula's"", 'Aggarwal Sweets and Snacks', 'Shri Sai Food Corner', 'Heritage International School', 'Deep Public School', 'Government Boys Senior Secondary School']","Check out this plot in sultanpur, south delhi, an ideal destination to build your dream residence. This 1 acres super built up area plot is your opportunity to build a exceptional residence. Ownership of this property provides you entitlement to construct upto 2 floors. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. The owner of the property has freehold entitlement over the land. The asking price is only 32 crore. Negotiable. This property faces the north-East direction. This property is close to metro station, close to market, close to hospital and close to school.","['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.9 out of 5']",Y66790312
Residential land / Plot in Dera Mandi,https://www.99acres.com/residential-land-plot-for-sale-in-dera-mandi-south-delhi-4840-sq-yard-r4-spid-M65566732,,5 Crore,,"Dera Mandi, South Delhi, Delhi",,1,Immediate,"['SHIV MANDIR BALIYAWAS', 'Janki Max Hospital', 'Parivar Clinic', 'Florence Farm', 'Green Dot Theory', 'CHINESE CORNER', 'Government Sarvodaya Vidyalaya']","This plot in chattarpur provides you great opportunity to build a fabulous residence in delhi south. It's a 1 acres super built up area property. Construction on this property can be easily done upto 2 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The owner of the property has freehold entitlement over the land. The asking price is only 5 crore. Negotiable. This plot is facing the north-East direction.","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.8 out of 5']",M65566732
